"Chapter","Routing","Token"
"山海經|南山經","shan-hai-jing/nan-shan-jing","ctp:shan-hai-jing/nan-shan-jing"
"山海經|西山經","shan-hai-jing/xi-shan-jing","ctp:shan-hai-jing/xi-shan-jing"
"山海經|北山經","shan-hai-jing/bei-shan-jing","ctp:shan-hai-jing/bei-shan-jing"
"山海經|東山經","shan-hai-jing/dong-shan-jing","ctp:shan-hai-jing/dong-shan-jing"
"山海經|中山經","shan-hai-jing/zhong-shan-jing","ctp:shan-hai-jing/zhong-shan-jing"
"山海經|海外南經","shan-hai-jing/hai-wai-nan-jing","ctp:shan-hai-jing/hai-wai-nan-jing"
"山海經|海外西經","shan-hai-jing/hai-wai-xi-jing","ctp:shan-hai-jing/hai-wai-xi-jing"
"山海經|海外北經","shan-hai-jing/hai-wai-bei-jing","ctp:shan-hai-jing/hai-wai-bei-jing"
"山海經|海外東經","shan-hai-jing/hai-wai-dong-jing","ctp:shan-hai-jing/hai-wai-dong-jing"
"山海經|海內南經","shan-hai-jing/hai-nei-nan-jing","ctp:shan-hai-jing/hai-nei-nan-jing"
"山海經|海內西經","shan-hai-jing/hai-nei-xi-jing","ctp:shan-hai-jing/hai-nei-xi-jing"
"山海經|海內北經","shan-hai-jing/hai-nei-bei-jing","ctp:shan-hai-jing/hai-nei-bei-jing"
"山海經|海內東經","shan-hai-jing/hai-nei-dong-jing","ctp:shan-hai-jing/hai-nei-dong-jing"
"山海經|大荒東經","shan-hai-jing/da-huang-dong-jing","ctp:shan-hai-jing/da-huang-dong-jing"
"山海經|大荒南經","shan-hai-jing/da-huang-nan-jing","ctp:shan-hai-jing/da-huang-nan-jing"
"山海經|大荒西經","shan-hai-jing/da-huang-xi-jing","ctp:shan-hai-jing/da-huang-xi-jing"
"山海經|大荒北經","shan-hai-jing/da-huang-bei-jing","ctp:shan-hai-jing/da-huang-bei-jing"
"山海經|海內經","shan-hai-jing/hai-nei-jing","ctp:shan-hai-jing/hai-nei-jing"
